MATCH,HALF,POSS,TEAM,OPP,SOURCE,START,END,LOST,SOURCE NOTE,LOST NOTE
1,1,1,SAM,ZIM,Scrum,10,15,Tackled to touch,,
1,1,2,ZIM,SAM,Line out,15,15,Kick,,
1,1,3,SAM,ZIM,Kick,5,10,Maul,,
1,1,4,ZIM,SAM,Scrum,6,14,TRY,,
1,1,5,SAM,ZIM,FK,8,11,Counter ruck,,
1,1,6,ZIM,SAM,Counter ruck,5,8,PEN,,PEN: not releasing
1,1,7,SAM,ZIM,PK,8,14,TRY,PK: not releasing,
1,1,8,ZIM,SAM,Restart,5,14,TRY,,
1,2,9,SAM,ZIM,Restart,1,14,TRY,,
1,2,10,ZIM,SAM,Restart,5,8,HE,,HE: knock on
1,2,11,SAM,ZIM,HE,8,14,TRY,,
1,2,12,ZIM,SAM,Restart,5,6,HE,,HE: knock on
1,2,13,SAM,ZIM,Scrum,10,13,Intercept,,
1,2,14,ZIM,SAM,Intercept,3,11,PEN,,PEN: not releasing
1,2,15,SAM,ZIM,PK,5,11,Counter ruck,PK: not releasing,
1,2,16,ZIM,SAM,Counter ruck,5,14,HE,,HE: knock on
2,1,1,KEN,PHL,Reclaim,3,14,TRY,,
2,1,2,PHL,KEN,Restart,6,11,PEN,,PEN: not releasing
2,1,3,KEN,PHL,PK,5,14,TRY,PK: not releasing,
2,1,4,PHL,KEN,Restart,5,15,Kick,,
2,1,5,KEN,PHL,Kick,3,3,PEN,,PEN: not releasing
2,1,6,PHL,KEN,PK,13,13,TRY,PK: not releasing,
2,1,7,KEN,PHL,Restart,6,7,Knock on,,
2,2,8,KEN,PHL,Reclaim,7,13,Tackled to touch,,
2,2,9,PHL,KEN,Line out,3,3,Line out stolen,,
2,2,10,KEN,PHL,Line out steal,13,13,Poached,,
2,2,11,PHL,KEN,Poach,3,1,Poached,,
2,2,12,KEN,PHL,Poach,15,14,TRY,,
2,2,13,PHL,KEN,Restart,6,12,Poached,,
2,2,14,KEN,PHL,Poach,4,14,TRY,,
2,2,15,KEN,PHL,Reclaim,11,14,TRY,,
2,2,16,PHL,KEN,Restart,5,9,Intercept,,
2,2,17,KEN,PHL,Intercept,7,14,TRY,,
2,2,18,PHL,KEN,Restart,2,11,Poached,,
2,2,19,KEN,PHL,Poach,5,15,TRY,,
3,1,1,CAN,NZL,FK,8,11,HE,FK: restart not 10,HE: knock on
3,1,2,NZL,CAN,Scrum,2,14,TRY,,
3,1,3,CAN,NZL,Restart,4,13,Kick,,
3,1,4,NZL,CAN,Kick,3,6,Kick,,
3,1,5,CAN,NZL,Kick,5,12,PEN,,PEN: not releasing
3,1,6,NZL,CAN,PK,4,15,TRY,PK: not releasing,
3,1,7,CAN,NZL,FK,8,11,PEN,FK: restart not 10,PEN: not releasing
3,1,8,NZL,CAN,PK,5,14,TRY,,
3,1,9,CAN,NZL,Restart,5,6,PEN,,PEN: not releasing
3,1,10,NZL,CAN,PK,10,12,HE,PK: not releasing,HE: knock on
3,2,11,CAN,NZL,Reclaim,11,13,Intercept,,
3,2,12,NZL,CAN,Intercept,3,3,Intercept,,
3,2,13,CAN,NZL,Intercept,13,13,TRY,,
3,2,14,CAN,NZL,Reclaim,11,8,PEN,,PEN: not releasing
3,2,15,NZL,CAN,PK,8,13,TRY,PK: not releasing,
3,2,16,CAN,NZL,Restart,3,14,TRY,,
3,2,17,CAN,NZL,Reclaim,10,13,Intercept,,
3,2,18,NZL,CAN,Intercept,3,14,TRY,,
4,1,1,USA,GEO,Restart,4,14,TRY,,
4,1,2,USA,GEO,Line out,12,15,Tackled to touch,Line out: restart knocked to touch,
4,1,3,GEO,USA,Line out,1,14,TRY,,
4,1,4,USA,GEO,FK,8,14,TRY,FK: restart direct to touch,
4,1,5,USA,GEO,Reclaim,10,15,TRY,,
4,1,6,USA,GEO,Reclaim,11,13,TRY,,
4,2,7,GEO,USA,Scrum,5,7,Line out stolen,Scrum: knocked on restart,
4,2,8,USA,GEO,Line out steal,9,12,PEN,,PEN: entering ruck from side
4,2,9,GEO,USA,PK,4,14,TRY,PK: entering ruck from side,
4,2,10,USA,GEO,Scrum,6,15,PEN,,PEN: not releasing
4,2,11,GEO,USA,PK,1,4,HE,PK: not releasing,HE: knock on
4,2,12,USA,GEO,Scrum,9,9,Intercept,,
4,2,13,GEO,USA,Intercept,7,15,TRY,,
5,1,1,TON,FIJ,Restart,2,4,Maul,,
5,1,2,FIJ,TON,FK,12,15,HE,FK: scrum wheeled before put in,HE: knock on
5,1,3,TON,FIJ,PK,4,8,PEN,PK: collapsed scrum,PEN: not releasing
5,1,4,FIJ,TON,PK,8,14,TRY,PK: not releasing,
5,1,5,TON,FIJ,Restart,3,6,Poached,,
5,1,6,FIJ,TON,Poach,10,12,HE,,HE: fwd pass
5,1,7,TON,FIJ,Scrum,4,12,HE,,HE: ball thrown to touch
5,1,8,FIJ,TON,Line out,4,14,TRY,,
5,2,9,FIJ,TON,Restart,1,14,TRY,,
5,2,10,TON,FIJ,Restart,5,4,PEN,,PEN: diving over
5,2,11,FIJ,TON,PK,12,15,TRY,PK: diving over,
5,2,12,FIJ,TON,Reclaim,10,14,TRY,,
5,2,13,TON,FIJ,Restart,6,8,Kick,,
5,2,14,FIJ,TON,Kick,5,14,TRY,,
5,2,15,FIJ,TON,Scrum,8,8,PEN,HE: knock on restart,PEN: pulled down scrum
5,2,16,TON,FIJ,PK,8,8,Poached,,
5,2,17,FIJ,TON,Poach,8,14,TRY,,
6,1,1,URU,WAL,Reclaim,11,14,Maul,,
6,1,2,WAL,URU,Scrum,2,2,Scrum lost,,
6,1,3,URU,WAL,Scrum won,11,12,PEN,,PEN: not releasing
6,1,4,WAL,URU,PK,4,15,Kick,,
6,1,5,URU,WAL,22,5,5,FK,,FK: 22 not cross line
6,1,6,WAL,URU,Scrum,11,14,TRY,,
6,1,7,WAL,URU,Reclaim,10,13,Tackled to touch,,
6,1,8,URU,WAL,Line out,3,3,Line out stolen,,
6,1,9,WAL,URU,Line out stolen,13,14,TRY,,
6,1,10,WAL,URU,Reclaim,10,14,TRY,,
6,1,11,WAL,URU,Reclaim,10,11,PEN,,PEN: not releasing
6,1,12,URU,WAL,PK,5,14,TRY,PK: not releasing,
6,2,13,URU,WAL,Restart,9,9,Intercept,,
6,2,14,WAL,URU,Intercept,4,14,HE,,HE: knock on
6,2,15,URU,WAL,Scrum,2,7,HE,,HE: knock on
6,2,16,WAL,URU,Scrum,9,10,Poached,,
6,2,17,URU,WAL,Poach,6,12,PEN,,PEN: playing ball on ground
6,2,18,WAL,URU,PK,4,9,Poached,PK: playing ball on ground,
6,2,19,URU,WAL,Poach,7,14,HE,,HE: knock on
6,2,20,WAL,URU,Scrum,2,14,TRY,,
6,2,21,URU,WAL,Restart,4,2,Kick,,
6,2,22,WAL,URU,Kick,7,14,TRY,,
7,1,1,POR,ENG,Restart,8,8,Kick,,
7,1,2,ENG,POR,Kick,5,13,PEN,,PEN: not releasing
7,1,3,POR,ENG,PK,3,9,Line out stolen,PK: not releasing,
7,1,4,ENG,POR,Line out stolen,7,14,TRY,,
7,1,5,POR,ENG,Restart,6,14,TRY,,
7,1,6,ENG,POR,Restart,6,5,PEN,,PEN: playing ball on ground
7,1,7,POR,ENG,PK,11,11,Kick,PK: playing ball on ground,
7,2,8,ENG,POR,Restart,4,7,Kick,,Kick: out back of goal
7,2,9,POR,ENG,FK,6,8,Poached,FK: offside at scrum,
7,2,10,ENG,POR,Poach,8,14,TRY,,
7,2,11,POR,ENG,Restart,5,11,PEN,,PEN: not releasing
7,2,12,ENG,POR,PK,5,14,TRY,PK: not releasing,
7,2,13,POR,ENG,Restart,5,8,PEN,,PEN: not releasing
7,2,14,ENG,POR,PK,8,12,HE,,HE: thrown to touch
7,2,15,POR,ENG,Line out,4,7,HE,,HE: knock on
8,1,1,ARG,HKG,Reclaim,10,11,Kick,,
8,1,2,HKG,ARG,Kick,2,2,PEN,,PEN: not releasing
8,1,3,ARG,HKG,PK,14,14,TRY,PK: not releasing,
8,1,4,ARG,HKG,Reclaim,12,14,Maul,,
8,1,5,HKG,ARG,Scrum,2,14,TRY,,
8,1,6,ARG,HKG,Restart,5,2,Kick,,
8,1,7,HKG,ARG,Kick,5,10,PEN,,PEN: not releasing
8,1,8,ARG,HKG,PK,6,14,TRY,PK: not releasing,
8,2,9,HKG,ARG,Reclaim,8,8,PEN,,PEN: offside on restart
8,2,10,ARG,HKG,PK,8,14,TRY,PK: illegal touching,
8,2,11,ARG,HKG,Reclaim,9,11,HE,,HE: knock on
8,2,12,HKG,ARG,Scrum,5,7,Intercept,,
8,2,13,ARG,HKG,Intercept,9,14,TRY,,
8,2,14,ARG,HKG,Reclaim,8,9,Kick,,
8,2,15,HKG,ARG,Line out,7,7,Line out stolen,,
8,2,16,ARG,HKG,Line out stolen,9,14,TRY,,
8,2,17,ARG,HKG,Reclaim,8,14,TRY,,
8,2,18,ARG,HKG,Reclaim,8,14,TRY,,
9,1,1,ESP,AUS,Restart,8,8,HE,,HE: knock on
9,1,2,AUS,ESP,Scrum,5,5,Scrum lost,,
9,1,3,ESP,AUS,Scrum won,11,14,PEN,,PEN: not releasing
9,1,4,AUS,ESP,PK,2,9,HE,PK: not releasing,HE: knock on
9,1,5,ESP,AUS,Scrum,7,9,PEN,,PEN: not releasing
9,1,6,AUS,ESP,PK,8,15,TRY,,PK: not releasing
9,1,7,ESP,AUS,Restart,4,7,Counter ruck,,
9,1,8,AUS,ESP,Counter ruck,9,12,HE,,HE: knock on
9,1,9,ESP,AUS,Scrum,4,5,Kick,,
9,1,10,AUS,ESP,Kick,7,7,Tackled to touch,,
9,1,11,ESP,AUS,Line out,9,10,Intercept,,
9,1,12,AUS,ESP,Intercept,6,6,Kick,,
9,1,13,ESP,AUS,Kick,4,4,HE,,HE: fwd pass
9,1,14,AUS,ESP,Scrum,12,14,TRY,,
9,2,15,ESP,AUS,Restart,4,10,HE,,HE: knock on
9,2,16,AUS,ESP,Scrum,6,10,Kick,,
9,2,17,ESP,AUS,Line out,3,3,Line out infraction,,LO: throw not 5
9,2,18,AUS,ESP,FK,13,15,HE,FK:  LO throw not 5,HE: knock on
9,2,19,ESP,AUS,Scrum,1,2,PEN,,PEN: not releasing
9,2,20,AUS,ESP,PK,14,14,TRY,PK: not releasing,
9,2,21,AUS,ESP,Reclaim,11,14,HE,,HE: knock on
9,2,22,ESP,AUS,PK,2,5,Intercept,,PK: collapsed scrum
9,2,23,AUS,ESP,Intercept,11,14,Poached,,
9,2,24,ESP,AUS,Poach,2,15,Tackled to touch,,
10,1,1,TUN,FRA,Restart,5,5,HE,,HE: knock on
10,1,2,FRA,TUN,Scrum,11,13,TRY,,
10,1,3,TUN,FRA,Restart,4,13,Poached,,
10,1,4,FRA,TUN,Poach,3,14,TRY,,
10,1,5,TUN,FRA,Restart,7,15,Poached,,
10,1,6,FRA,TUN,Poach,1,11,Poached,,
10,1,7,TUN,FRA,Poach,5,14,HE,,HE: knock on
10,1,8,FRA,TUN,Scrum,2,1,HE,,HE: ball thrown to touch
10,2,9,FRA,TUN,Restart,4,15,PEN,,PEN: not releasing
10,2,10,TUN,FRA,PK,1,1,Kick,PK: not releasing,
10,2,11,FRA,TUN,Kick,6,14,TRY,,
10,2,12,FRA,TUN,Reclaim,10,13,Poached,,
10,2,13,TUN,FRA,Poach,3,6,HE,,HE: ball thrown to touch
10,2,14,FRA,TUN,Scrum,10,13,TRY,,
10,2,15,TUN,FRA,Restart,2,14,TRY,,
11,1,1,RSA,RUS,Restart,6,15,TRY,,
11,1,2,RSA,RUS,Reclaim,12,11,HE,,HE: knock on
11,1,3,RUS,RSA,Scrum,5,6,Maul,,
11,1,4,RSA,RUS,Scrum,10,14,TRY,,
11,1,5,RUS,RSA,Line out,4,4,HE,,HE: lost fwd in tackle
11,1,6,RSA,RUS,Scrum,12,14,TRY,,
11,1,7,RUS,RSA,PK,4,14,PEN,PK: interfering with jumper on restart,PEN leaving feet in ruck
11,1,8,RSA,RUS,PK,5,2,Kicked to touch,,
11,2,9,RUS,RSA,Restart,4,12,HE,,HE: fwd pass
11,2,10,RSA,RUS,Scrum,4,15,Intercept,,
11,2,11,RUS,RSA,Intercept,1,2,Tackled in goal,,
11,2,12,RSA,RUS,Scrum,14,14,TRY,,
11,2,13,RUS,RSA,Restart,1,1,HE,,HE: fwd pass
11,2,14,RSA,RUS,Scrum,15,13,TRY,,
11,2,15,RSA,RUS,Scrum,8,9,HE,,HE: ball thrown to touch
12,1,1,JPN,SCO,Restart,5,4,Tackled to touch,,
12,1,2,SCO,JPN,Line out,12,13,TRY,,
12,1,3,SCO,JPN,PK,5,15,TRY,PK: offside on restart,
12,1,4,JPN,SCO,Restart,6,8,HE,,HE: lost fwd in tackle
12,1,5,SCO,JPN,Poach,8,12,HE,,HE: knock on
12,1,6,JPN,SCO,PK,4,8,HE,PK: offside,HE: lost fwd in tackle
12,1,7,SCO,JPN,Scrum,8,13,Tackled to touch,,
12,1,8,JPN,SCO,Line out,6,2,Poached,,
12,1,9,SCO,JPN,Poach,11,11,HE,HE: fwd pass,HE: fwd pass
12,2,10,SCO,JPN,Line out,4,14,TRY,,
12,2,11,JPN,SCO,Restart,5,14,TRY,,
12,2,12,SCO,JPN,Line out,6,13,HE,,HE: knock on
12,2,13,JPN,SCO,Scrum,1,15,TRY,,
12,2,14,JPN,SCO,Reclaim,11,14,Poached,,
12,2,15,SCO,JPN,Poach,2,5,PEN,,PEN: not releasing
12,2,16,JPN,SCO,PK,11,13,TRY,PK: not releasing,
13,1,1,SAM,PHL,Restart,6,5,HE,,HE: knock on
13,1,2,PHL,SAM,Scrum,8,9,HE,,HE: knock on
13,1,3,SAM,PHL,Scrum,7,13,HE,,HE: knock on
13,1,4,PHL,SAM,Scrum,3,7,Poached,,
13,1,5,SAM,PHL,Poach,9,10,HE,,HE: fwd pass
13,1,6,PHL,SAM,Scrum,4,3,HE,,HE: knock on
13,1,7,SAM,PHL,Scrum,13,13,Poached,,
13,1,8,PHL,SAM,Poach,2,2,HE,,HE: fwd pass
13,1,9,SAM,PHL,Scrum,14,14,TRY,,
13,2,10,PHL,SAM,Scrum,6,6,HE,,HE: knock on
13,2,11,SAM,PHL,Intercept,10,13,TRY,,
13,2,12,PHL,SAM,Scrum,6,7,Poached,,
13,2,13,SAM,PHL,Poach,9,13,TRY,,
13,2,14,PHL,SAM,PK,8,2,Tackled in goal,PK: illegal contact on restart,
13,2,15,SAM,PHL,Scrum,14,14,TRY,Scrum: tackled in own goal,
13,2,16,PHL,SAM,FK,8,8,Counter ruck,FK: restart not 10,
13,2,17,SAM,PHL,Counter ruck,8,13,TRY,,
14,1,1,KEN,ZIM,Reclaim,11,11,PEN,,PEN: diving over
14,1,2,ZIM,KEN,PK,5,9,Kick,PK: diving over,
14,1,3,KEN,ZIM,Kick,1,3,Maul,,
14,1,4,ZIM,KEN,Scrum,10,12,HE,,HE: ball thrown to touch
14,1,5,KEN,ZIM,Line out,4,4,HE,,HE: not straight
14,1,6,ZIM,KEN,Scrum,12,12,Counter ruck,,
14,1,7,KEN,ZIM,Counter ruck,4,14,TRY,,
14,1,8,KEN,ZIM,Reclaim,10,14,TRY,,
14,1,9,ZIM,KEN,Restart,5,5,Poached,,
14,1,10,KEN,ZIM,Poach,11,14,TRY,,
14,1,11,ZIM,KEN,Restart,5,13,TRY,,
14,2,12,KEN,ZIM,Restart,1,13,PEN,,PEN: not releasing
14,2,13,ZIM,KEN,PK,3,3,Kick,PK: not releasing,
14,2,14,KEN,ZIM,Kick,8,14,TRY,,
14,2,15,KEN,ZIM,Reclaim,11,12,HE,,HE: knock on
14,2,16,ZIM,KEN,Scrum,4,6,Kick,,
14,2,17,KEN,ZIM,Kick,4,4,PEN,,PEN: not releasing
14,2,18,ZIM,KEN,PK,12,8,Counter ruck,PK: not releasing,
14,2,19,KEN,ZIM,Counter ruck,8,14,TRY,,
14,2,20,ZIM,KEN,Restart,6,9,HE,,HE: fwd pass
14,2,21,KEN,ZIM,Scrum,7,5,PEN,,PEN: hands in ruck
14,2,22,ZIM,KEN,PK,12,7,HE,PK: hands in ruck,HE:knock on
14,2,23,KEN,ZIM,Intercept,9,9,Tackled to touch,,
15,1,1,GEO,NZL,Scrum,2,7,Line out stolen,,
15,1,2,NZL,GEO,Line out stolen,9,13,Intercept,,
15,1,3,GEO,NZL,Intercept,3,8,HE,,HE: lost fwd in tackle
15,1,4,NZL,GEO,Intercept,8,14,TRY,,
15,1,5,GEO,NZL,Restart,6,7,PEN,,PEN: not releasing
15,1,6,NZL,GEO,PK,9,14,TRY,PK: not releasing,
15,1,7,GEO,NZL,Restart,2,13,Poached,,
15,1,8,NZL,GEO,Poach,1,9,Poached,,
15,1,9,GEO,NZL,Poach,7,11,HE,,HE: knock on
15,2,10,GEO,NZL,Reclaim,12,13,Poached,,
15,2,11,NZL,GEO,Poach,3,14,TRY,,
15,2,12,GEO,NZL,Restart,5,8,Kick,,
15,2,13,NZL,GEO,Kick,2,2,Poached,,
15,2,14,GEO,NZL,Poach,14,14,TRY,,
15,2,15,NZL,GEO,Restart,4,14,TRY,,
15,2,16,GEO,NZL,Restart,4,6,HE,,HE: knock on
15,2,17,NZL,GEO,Scrum,10,15,HE,,HE: ball lost in tackle
15,2,18,GEO,NZL,Poach,1,1,Kick,,
15,2,19,NZL,GEO,Kick,3,8,HE,,HE: knock on
15,2,20,GEO,NZL,FK,8,11,HE,FK: scrum failed to engage,
16,1,1,CAN,USA,Reclaim,8,15,TRY,,
16,1,2,USA,CAN,Restart,3,12,Tackled to touch,,
16,1,3,CAN,USA,Line out,4,13,TRY,,
16,1,4,USA,CAN,Restart,3,14,TRY,,
16,1,5,CAN,USA,Restart,4,12,Counter ruck,,
16,1,6,USA,CAN,Counter ruck,4,7,HE,,HE: ball thrown to touch
16,2,7,CAN,USA,FK,8,13,TRY,FK: restart direct to touch,
16,2,8,USA,CAN,Restart,6,14,TRY,,
16,2,9,USA,CAN,Reclaim,13,15,Kicked to touch,,
16,2,10,CAN,USA,Line out,1,9,Tackled to touch,,
16,2,11,USA,CAN,Line out,7,7,Line out stolen,,
16,2,12,CAN,USA,Line out stolen,9,11,HE,,HE: knock on
16,2,13,USA,CAN,Scrum,5,2,Maul,,
16,2,14,CAN,USA,Scrum,14,11,Kick,,Kick: kick to touch
17,1,1,URU,FIJ,Restart,6,4,HE,,HE: ball lost in tackle
17,1,2,FIJ,URU,Poach,12,14,TRY,,
17,1,3,URU,FIJ,Restart,6,11,PEN,,PEN: not releasing
17,1,4,FIJ,URU,PK,7,7,PEN,PK: not releasing,PEN: diving over
17,1,5,URU,FIJ,Line out,15,15,Line out stolen,,
17,1,6,FIJ,URU,Line out stolen,1,14,TRY,,
17,1,7,URU,FIJ,Restart,6,9,PEN,,PEN: hands in ruck
17,1,8,FIJ,URU,PK,7,15,TRY,,
17,1,9,URU,FIJ,Restart,6,6,Kicked to touch,,
17,1,10,FIJ,URU,Line out,1,14,TRY,,
17,2,11,FIJ,URU,Restart,2,1,HE,,HE: knock on
17,2,12,URU,FIJ,Scrum,15,12,HE,,HE: ball thrown to touch
17,2,13,FIJ,URU,Line out,9,14,TRY,,
17,2,14,FIJ,URU,Reclaim,12,13,HE,,HE: knock on
17,2,15,URU,FIJ,Scrum,3,2,PEN,,PEN: not releasing
17,2,16,FIJ,URU,PK,14,14,TRY,PK: not releasing,
18,1,1,TON,WAL,PK,6,4,Counter ruck,PK: offside on restart,
18,1,2,WAL,TON,Counter ruck,11,14,TRY,,
18,1,3,TON,WAL,Restart,4,4,PEN,,PEN: not releasing
18,1,4,WAL,TON,PK,15,14,TRY,PK: not releasing,
18,1,5,WAL,TON,Reclaim,11,13,PEN,,PEN: not releasing
18,1,6,TON,WAL,PK,6,13,TRY,PK: not releasing ,
18,1,7,WAL,TON,FK,8,11,HE,FK: restart direct to touch,HE: fwd pass
18,1,8,TON,WAL,Scrum,5,14,TRY,,
18,2,9,TON,WAL,Reclaim,10,15,TRY,,
18,2,10,WAL,TON,Restart,6,13,TRY,,
18,2,11,TON,WAL,Restart,6,2,Intercept,,
18,2,12,WAL,TON,Intercept,14,14,TRY,,
18,2,13,TON,WAL,Restart,6,5,Counter ruck,,
18,2,14,WAL,TON,Counter ruck,11,15,Tackled to touch,,
18,2,15,TON,WAL,Line out,1,2,Maul,,
18,2,16,WAL,TON,Scrum,14,10,HE,,HE: knock on
18,2,17,TON,WAL,Scrum,6,6,Intercept,,
18,2,18,WAL,TON,Intercept,13,13,Tackled to touch,,
19,1,1,ARG,POR,Restart,7,4,HE,,HE: ball thrown to touch
19,1,2,POR,ARG,Line out,12,13,TRY,,
19,1,3,ARG,POR,Restart,6,7,Maul,,
19,1,4,POR,ARG,Scrum,9,9,Kick,,
19,1,5,ARG,POR,Kick,7,7,Poached,,
19,1,6,POR,ARG,Poach,9,15,TRY,,
19,1,7,ARG,POR,Restart,6,2,Maul,,
19,1,8,POR,ARG,Scrum,14,15,TRY,,
19,2,9,ARG,POR,Reclaim,7,7,HE,,HE: knock on
19,2,10,POR,ARG,Scrum,9,8,Kick,,
19,2,11,ARG,POR,Kick,5,7,HE,,HE: knock on
19,2,12,POR,ARG,Scrum,9,9,Counter ruck,,
19,2,13,ARG,POR,Counter ruck,7,13,TRY,,
19,2,14,POR,ARG,Restart,6,5,Poached,,
19,2,15,ARG,POR,Poach,11,11,PEN,,PEN: not releasing
19,2,16,POR,ARG,PK,11,7,Counter ruck,PK: not releasing ,
19,2,17,ARG,POR,Counter ruck,9,13,TRY,,
19,2,18,ARG,POR,Scrum,10,13,HE,Scrum: knocked on restart,HE: ball lost fwd in tackle
19,2,19,POR,ARG,Intercept,6,15,Tackled to touch,,
19,2,20,ARG,POR,Line out,1,1,HE,,HE: ball lost in tackle
19,2,21,POR,ARG,Intercept,15,13,Kicked to touch,,
20,1,1,HKG,ENG,PK,5,14,TRY,PK: offside on restart,
20,1,2,ENG,HKG,Restart,5,14,TRY,,
20,1,3,HKG,ENG,PK,5,11,Kick,PK: ct with jumper,
20,1,4,ENG,HKG,Kick,5,14,TRY,,
20,2,5,ENG,HKG,Restart,5,13,TRY,,
20,2,6,HKG,ENG,Scrum,8,2,HE,Scrum: knocked on reclaim,HE: knock on
20,2,7,ENG,HKG,Scrum,11,13,TRY,,
20,2,8,HKG,ENG,Restart,4,4,Counter ruck,,
20,2,9,ENG,HKG,Counter ruck,12,14,TRY,,
20,2,10,HKG,ENG,Restart,5,7,Line out stolen,,
20,2,11,ENG,HKG,Line out stolen,9,7,HE,,HE: ball lost in tackle
20,2,12,HKG,ENG,PK,9,9,Counter ruck,PK: playing ball on ground,
20,2,13,ENG,HKG,Counter ruck,7,15,TRY,,
21,1,1,AUS,TUN,Reclaim,10,15,PEN,,PEN: not releasing
21,1,2,TUN,AUS,Line out,7,5,PEN,,PEN: not releasing
21,1,3,AUS,TUN,PK,11,15,TRY,PK: not releasing,
21,1,4,AUS,TUN,Reclaim,11,13,TRY,,
21,1,5,AUS,TUN,Reclaim,9,14,TRY,,
